Date,Name,Amount
18.12.2024,Varaus,-2.95
18.12.2024,S-MARKET KOLMIKULMA,-18.47
17.12.2024,Varaus,-2.3
17.12.2024,Varaus,-4.0
17.12.2024,Varaus,-10.0
17.12.2024,Varaus,-4.23
17.12.2024,PLAYTOMIC.IO 97D0BC7,-17.16
16.12.2024,Wolt,-32.9
16.12.2024,PLAYTOMIC.IO FCD4525,-26.0
16.12.2024,"PADEL ADDER KELJO, J",-39.0
09.12.2024,Wolt,-20.16
07.12.2024,MobilePay Open Padel Martin...,-1.0
06.12.2024,MobilePay Open Padel & Golf...,-61.5
04.12.2024,NAME-CHEAP.COM* QHR3,-3.0
02.12.2024,Servica Oy,-2.95
02.12.2024,Servica Oy,-2.5
02.12.2024,Hsl Mobiili,-2.95
02.12.2024,Lidl Kuopio Petonen,-3.67
02.12.2024,Galaxyai,-85.93
02.12.2024,Compass Group Finlan,-2.95
29.11.2024,Trade Republic,-500.0
29.11.2024,CHF*Suojakalvotukku.,-14.94
29.11.2024,Compass Group Finlan,-2.95
28.11.2024,Restaurant Anna,-2.95
28.11.2024,LIDL JYVÄSKYLÄ KELJO,-4.7
27.11.2024,VR.FI,-50.1
27.11.2024,R_JYVASKYLA_Matkakes,-2.5
27.11.2024,LIDL JYVÄSKYLÄ KELJO,-1.99
26.11.2024,VR.FI,-71.7
26.11.2024,ST1 Jyväskylä Viitan,-43.04
26.11.2024,SP Metsamaahinen,-28.29
26.11.2024,S-MARKET KOLMIKULMA,-14.52
25.11.2024,VFI*Pella s Cafe,-32.5
25.11.2024,Ravintola Artturi,-8.0
25.11.2024,Nysse Mobiili,-2.7
25.11.2024,K-Market Kullervonka,-3.22
25.11.2024,Homeland Tamper,-110.0
25.11.2024,Compass Group Finlan,-2.95
25.11.2024,Balkhi K L T kahvila,-2.5
25.11.2024,The Padel School,-18.04
25.11.2024,Compass Group Finlan,-2.95
22.11.2024,Compass Group Finlan,-2.95
21.11.2024,Restaurant Anna,-2.95
21.11.2024,R_JYVASKYLA_Matkakes,-1.9
21.11.2024,LIDL JYVÄSKYLÄ KELJO,-4.57
20.11.2024,Restaurant Anna,-2.95
20.11.2024,NETFLIX.COM,-9.49
19.11.2024,Pasargad,-17.0
19.11.2024,LIDL JYVÄSKYLÄ KELJO,-2.29
18.11.2024,XXL FIN 713 JYV,-87.26
18.11.2024,WWW.OPENPADEL.FI,-80.0
18.11.2024,VFI*Grilli Ilmarisen,-10.9
18.11.2024,Prisma Seppala Jyvas,-64.62
18.11.2024,MATCHi - 86433512,-7.9
18.11.2024,LIDL JYVÄSKYLÄ KELJO,-3.41
18.11.2024,K-Market Tapionkatu,-1.65
18.11.2024,CLAS OHLSON 169,-11.99
18.11.2024,1697 ST1 AUTOMA,-48.68
18.11.2024,Compass Group Finlan,-2.95
